Exercise No.,Workflow Name,Created Date
Exercise 01,Convert to File,29 September
Exercise 02,Greeting,30 September
Exercise 03,My Workflow 3,30 September
Exercise 04,CoachDom Telegram,30 September
Exercise 05,Conditional Nodes,1 October
Exercise 06,SocialEagle AI Demo,2 October
Exercise 07,Gmail Auto Responder,2 October
Exercise 08,AI Nodes,2 October
Exercise 09,Google Sheets Invoice Generator,3 October
Exercise 10,Good Morning Telegram,3 October
Exercise 11,Title to Podcast,3 October
Exercise 12,PDF to Summary,3 October
Exercise 13,GSheet Automation,3 October
Exercise 14,Project Challenge,4 October
Exercise 15,Daily Reminder Dispatcher - Complete,4 October
Exercise 16,Daily Reminder Dispatcher,4 October
Exercise 17,Legal Inquiry Auto-Reply & Log,5 October
Exercise 18,My First AI Agent,6 October
Exercise 19,My Workflow 4,6 October
Exercise 20,Telegram AI Agent,7 October
Exercise 21,My First JARVIS,7 October
Exercise 22,JARVIS Telegram Assistant,7 October
Exercise 23,RAG Agent 2.0,8 October
Exercise 24,Swiggy & Zepto,8 October
